date,lat,lon,zone,deaths,confirmed
244,-3.5711,-80.4592,1,317.0,8592.0
245,-6.2294,-77.8728,1,230.0,17190.0
245,-7.1547,-78.5108,1,528.0,22580.0
245,-8.1,-79.0306,1,2312.0,33338.0
245,-6.7669,-79.8506,1,1786.0,29079.0
245,-3.7481,-73.2442,1,976.0,22810.0
245,-5.1525,-80.6578,1,2042.0,38917.0
245,-6.0347,-76.9742,1,742.0,22036.0
245,-3.5711,-80.4592,1,317.0,8623.0
246,-6.2294,-77.8728,1,232.0,17215.0
246,-7.1547,-78.5108,1,531.0,22675.0
246,-8.1,-79.0306,1,2314.0,33454.0
246,-6.7669,-79.8506,1,1787.0,29157.0
246,-3.7481,-73.2442,1,976.0,22885.0
246,-5.1525,-80.6578,1,2047.0,38979.0
246,-6.0347,-76.9742,1,745.0,22116.0
246,-3.5711,-80.4592,1,317.0,8660.0
247,-6.2294,-77.8728,1,232.0,17253.0
247,-7.1547,-78.5108,1,533.0,22712.0
247,-8.1,-79.0306,1,2315.0,33524.0
247,-6.7669,-79.8506,1,1790.0,29283.0
247,-3.7481,-73.2442,1,976.0,22944.0
247,-5.1525,-80.6578,1,2048.0,39038.0
247,-6.0347,-76.9742,1,745.0,22258.0
247,-3.5711,-80.4592,1,319.0,8687.0
248,-6.2294,-77.8728,1,232.0,17258.0
248,-7.1547,-78.5108,1,535.0,22749.0
248,-8.1,-79.0306,1,2319.0,33558.0
248,-6.7669,-79.8506,1,1791.0,29305.0
248,-3.7481,-73.2442,1,977.0,22967.0
248,-5.1525,-80.6578,1,2050.0,39087.0
248,-6.0347,-76.9742,1,745.0,22311.0
248,-3.5711,-80.4592,1,319.0,8705.0
249,-6.2294,-77.8728,1,232.0,17289.0
249,-7.1547,-78.5108,1,537.0,22797.0
249,-8.1,-79.0306,1,2321.0,33634.0
249,-6.7669,-79.8506,1,1794.0,29341.0
249,-3.7481,-73.2442,1,977.0,22989.0
249,-5.1525,-80.6578,1,2051.0,39158.0
249,-6.0347,-76.9742,1,745.0,22407.0
249,-3.5711,-80.4592,1,319.0,8739.0
250,-6.2294,-77.8728,1,233.0,17324.0
250,-7.1547,-78.5108,1,540.0,22857.0
250,-8.1,-79.0306,1,2322.0,33815.0
250,-6.7669,-79.8506,1,1798.0,29415.0
250,-3.7481,-73.2442,1,978.0,23116.0
250,-5.1525,-80.6578,1,2053.0,39265.0
250,-6.0347,-76.9742,1,746.0,22513.0
250,-3.5711,-80.4592,1,320.0,8770.0
251,-6.2294,-77.8728,1,233.0,17365.0
251,-7.1547,-78.5108,1,540.0,22917.0
251,-8.1,-79.0306,1,2324.0,33911.0
251,-6.7669,-79.8506,1,1802.0,29484.0
251,-3.7481,-73.2442,1,978.0,23214.0
251,-5.1525,-80.6578,1,2053.0,39339.0
251,-6.0347,-76.9742,1,746.0,22595.0
251,-3.5711,-80.4592,1,322.0,8789.0
252,-6.2294,-77.8728,1,233.0,17408.0
252,-7.1547,-78.5108,1,543.0,22973.0
252,-8.1,-79.0306,1,2329.0,34019.0
252,-6.7669,-79.8506,1,1804.0,29634.0
252,-3.7481,-73.2442,1,978.0,23293.0
252,-5.1525,-80.6578,1,2056.0,39431.0
252,-6.0347,-76.9742,1,747.0,22694.0
252,-3.5711,-80.4592,1,322.0,8805.0
253,-6.2294,-77.8728,1,236.0,17429.0
253,-7.1547,-78.5108,1,546.0,23031.0
253,-8.1,-79.0306,1,2332.0,34093.0
253,-6.7669,-79.8506,1,1807.0,29707.0
253,-3.7481,-73.2442,1,979.0,23339.0
253,-5.1525,-80.6578,1,2057.0,39535.0
253,-6.0347,-76.9742,1,748.0,22782.0
253,-3.5711,-80.4592,1,323.0,8816.0
254,-6.2294,-77.8728,1,237.0,17452.0
254,-7.1547,-78.5108,1,548.0,23091.0
254,-8.1,-79.0306,1,2333.0,34183.0
254,-6.7669,-79.8506,1,1811.0,29811.0
254,-3.7481,-73.2442,1,981.0,23418.0
254,-5.1525,-80.6578,1,2057.0,39607.0
254,-6.0347,-76.9742,1,749.0,22868.0
254,-3.5711,-80.4592,1,323.0,8829.0
255,-6.2294,-77.8728,1,237.0,17452.0
255,-7.1547,-78.5108,1,548.0,23114.0
255,-8.1,-79.0306,1,2335.0,34274.0
255,-6.7669,-79.8506,1,1811.0,29827.0
255,-3.7481,-73.2442,1,981.0,23439.0
255,-5.1525,-80.6578,1,2058.0,39634.0
255,-6.0347,-76.9742,1,750.0,22930.0
255,-3.5711,-80.4592,1,324.0,8833.0
256,-6.2294,-77.8728,1,237.0,17469.0
256,-7.1547,-78.5108,1,548.0,23212.0
256,-8.1,-79.0306,1,2337.0,34324.0
256,-6.7669,-79.8506,1,1813.0,29855.0
256,-3.7481,-73.2442,1,982.0,23482.0
